question,answer,response,is_correct
جینیٹ کی بطخیں روزانہ 16 انڈے دیتی ہیں۔ وہ ہر صبح ناشتے میں تین انڈے کھاتی ہے اور اپنے دوستوں کے لیے روزانہ چار انڈوں سے مفن بناتی ہے۔ باقی بچ جانے والے انڈے وہ کسانوں کی منڈی میں روزانہ 2 ڈالر فی تازہ انڈے کے حساب سے بیچتی ہے۔ وہ کسانوں کی منڈی سے روزانہ کتنے ڈالر کماتی ہے؟,18,"

جینیٹ کی بطخیں روزانہ 16 انڈے دیتی ہیں۔ وہ ہر صبح 3 انڈے کھاتی ہے اور اپنے دوستوں کے لیے 4 انڈے استعمال کرتی ہے، جس کا مطلب ہے کہ وہ ہر روز کل 7 انڈے استعمال کرتی ہے۔ 

رہنما خطوط:
1. روزانہ انڈوں کی کل تعداد = 16
2. انڈوں کا استعمال = 3 (ناشتہ) + 4 (مفن) = 7
3. باقی بچ جانے والے انڈے = 16 - 7 = 9
4. ہر انڈے کی قیمت = $2
5. روزانہ کمائی = باقی بچے انڈے × قیمت = 9 × 2 = $18

جینیٹ کسانوں کی منڈی سے روزانہ $18 کماتی ہے۔

جواب: $\boxed{18}$",True
ایک چوغہ بنانے میں نیلے فائبر کے 2 تھان اور اُس سے آدھا سفید فائبر لگتا ہے۔ اِسے بنانے کے لیے کُل کتنے تھان درکار ہوں گے؟,3,"

ایک چوغہ بنانے کے لیے نیلے فائبر کے 2 تھان اور نصف سفید فائبر درکار ہوتے ہیں۔ چونکہ یہ دونوں فائبر مختلف ہیں، لہٰذا کل فائبر کی تعداد یوں ہوگی:  
**2 (نیلے فائبر) + 0.5 (سفید فائبر) = 2.5 تھان**  

اس طرح، ایک چوغہ بنانے کے لیے کل 2.5 فائبر درکار ہوں گے۔  

**جواب: 2.5 تھان**",False
"جوش نے ایک گھر کی مرمت کر کے اسے بیچنے کا کام آزمانے کا فیصلہ کیا۔ اُس نے 80,000 ڈالر میں ایک گھر خریدا اور پھر اُس کی مرمت پر 50,000 ڈالر لگائے۔ اس سے گھر کی مالیت میں 150 فیصد اضافہ ہوگیا۔ اُسے کتنا منافع ہوا؟",70000,"

Josh نے ایک گھر خریدا جس کی قیمت $80,000 تھی اور اسے مرمت کرنے پر $50,000 خرچ کیے۔ گھر کی قدر میں 150% کا اضافہ ہوا، جو اصل قیمت $80,000 پر 150% ہے۔ نئی قیمت کا حساب یوں ہوگا:

$$
\text{نئی قیمت} = 80,000 + (1.5 \times 80,000) = 80,000 + 120,000 = 200,000
$$

Josh نے گھر خریدنے اور مرمت کرنے پر $130,000 (80,000 + 50,000) خرچ کیے۔ گھر کو بیچنے سے پہلے اس کی قیمت $200,000 تھی۔ اس سے منافع کا حساب یوں ہوگا:

$$
\text{منافع} = 200,000 - 130,000 = 70,000
$$

**جواب:** Josh کو $70,000 منافع ہوا۔",True
جیمز ہفتے میں 3 بار 3 سپرنٹ دوڑنے کا فیصلہ کرتا ہے۔ وہ ہر سپرنٹ میں 60 میٹر دوڑتا ہے۔ وہ ہفتے میں کل کتنے میٹر دوڑتا ہے؟,540,"

جیمز ہفتے میں 3 بار 3 سپرنٹ دوڑتا ہے، جس کا مطلب ہے کہ ہر ہفتے میں 3 × 3 = 9 سپرنٹ کی دوڑ ہوتی ہے۔ ہر سپرنٹ میں 60 میٹر دوڑتا ہے، اس لیے ہفتے میں کل دوڑا گیا میٹر 9 × 60 = 540 ہوتا ہے۔

**جواب:** 540 میٹر",True
وینڈی ہر روز اپنی ہر مرغی کو صحت مند رکھنے کے لیے تین کپ ملی جلی خوراک کھلاتی ہے، جس میں بیج، کیڑے اور سبزیاں شامل ہوتی ہیں۔ وہ مرغیوں کو یہ خوراک دن میں تین الگ الگ حصوں میں دیتی ہے۔ صبح کے وقت، وہ اپنی مرغیوں کے غول کو 15 کپ خوراک دیتی ہے۔ دوپہر میں، وہ انہیں مزید 25 کپ خوراک دیتی ہے۔ اگر وینڈی کے پاس 20 مرغیاں ہوں، تو اسے دن کی آخری خوراک میں انہیں کتنے کپ خوراک دینے کی ضرورت ہے؟,20,"

وینڈی ہر روز اپنی ہر مرغی کو 3 کپ ملی جلی خوراک دیتی ہے۔ اس طرح 20 مرغیوں کو دن میں کل 60 کپ خوراک دی جاتی ہے (20 مرغی × 3 کپ = 60 کپ)۔

اب، یہ 60 کپ خوراک دن میں تین حصوں میں دی جاتی ہے:
- صبح میں 15 کپ خوراک دی جاتی ہے۔
- دوپہر میں 25 کپ خوراک دی جاتی ہے۔

صباح اور دوپہر میں دی جانے والی خوراک کو ملا دیتے ہوئے، یہ 40 کپ خوراک ہوگی (15 کپ + 25 کپ = 40 کپ)۔

چونکہ ہر دن کل 60 کپ خوراک دی جاتی ہے، اور صبح اور دوپہر میں 40 کپ خوراک دی جاتی ہے، تو دن کی آخری خوراک میں 20 کپ خوراک دینے کی ضرورت ہوگی (60 کپ - 40 کپ = 20 کپ)۔

جواب: 20 کپ",True
کیلر اپنے نئے اپارٹمنٹ کے لئے شیشے خریدنے کے لئے دکان گیا. ایک شیشے کی قیمت 5 ڈالر ہے، لیکن ہر دوسرے شیشے کی قیمت صرف 60 فیصد ہے. کیلر 16 شیشے خریدنا چاہتا ہے. اسے ان کے لئے کتنا ادا کرنے کی ضرورت ہے؟,64,"

کیلر 16 شیشے خریدنا چاہتا ہے، جس میں ہر دوسرے شیشے کی قیمت صرف 60 فیصد ہے۔ ہر دوسرے شیشے کا مطلب ہے کہ ہر جوڑے کا دوسرا شیشہ 60% قیمت پر ہے۔

16 شیشوں میں سے ہر دوسرے شیشے کی تعداد 8 ہوگی، جبکہ باقی 8 شیشے 5 ڈالر کی قیمت پر ہوں گے۔

- 8 شیشے کی قیمت: $ 8 \times 5 = 40 $
- 8 شیشے کی قیمت: $ 8 \times 3 = 24 $

کل قیمت: $ 40 + 24 = 64 $

**جواب:** کیلر کو 16 شیشوں کے لیے 64 ڈالر ادا کرنے ہوں گے۔

$$
\boxed{64}
$$",True
ٹولوس کے پاس چارلسٹن سے دوگنی بھیڑیں ہیں۔ چارلسٹن کے پاس سیئٹل سے چار گنا زیادہ بھیڑیں ہیں۔ اگر سیئٹل کے پاس 20 بھیڑیں ہیں، تو ٹولوس، چارلسٹن اور سیئٹل تینوں کے پاس ملا کر کل کتنی بھیڑیں ہوں گی؟,260,"

ٹولوس، چارلسٹن اور سیئٹل تینوں کے پاس ملا کر کل بھیڑیں 260 ہوں گی۔

**حل:**

1. **سیئٹل کی بھیڑیں:**  
   سیئٹل کے پاس 20 بھیڑیں ہیں۔

2. **چارلسٹن کی بھیڑیں:**  
   چارلسٹن کے پاس سیئٹل سے چار گنا زیادہ بھیڑیں ہیں:  
   $$
   4 \times 20 = 80
   $$

3. **ٹولوس کی بھیڑیں:**  
   ٹولوس کے پاس چارلسٹن سے دوگنی بھیڑیں ہیں:  
   $$
   2 \times 80 = 160
   $$

4. **کل بھیڑیں:**  
   تینوں کی بھیڑیں مل کر:  
   $$
   160 + 80 + 20 = 260
   $$

**جواب:**  
$$
\boxed{260}
$$",True
کارلا ایک 200 جی بی کی فائل ڈاؤن لوڈ کر رہی ہے۔ عام طور پر وہ 2 جی بی فی منٹ کی رفتار سے ڈاؤن لوڈ کر سکتی ہے، لیکن جب ڈاؤن لوڈ 40 فیصد مکمل ہوا، تو ونڈوز نے اپ ڈیٹس انسٹال کرنے کے لیے کمپیوٹر کو ری اسٹارٹ کر دیا، جس میں 20 منٹ لگے۔ اس کے بعد کارلا کو ڈاؤن لوڈ شروع سے دوبارہ کرنا پڑا۔ فائل کو ڈاؤن لوڈ کرنے میں کل کتنا وقت لگے گا؟,160,"

کارلا کے ڈاؤن لوڈ کے عمل میں کل 160 منٹ لگے ہوں گے۔

**حل:**
1. **کل فائل کا حجم:** 200 جی بی  
2. **عام ڈاؤن لوڈ رفتار:** 2 جی بی فی منٹ  
3. **ڈاؤن لوڈ شروع کرنے سے پہلے کا 40% ڈاؤن لوڈ شدہ حجم:**  
   $$
   0.4 \times 200 = 80 \, \text{جی بی}
   $$
4. **80 جی بی ڈاؤن لوڈ کرنے میں لگنے والا وقت:**  
   $$
   \frac{80}{2} = 40 \, \text{منٹ}
   $$
5. **ونڈوز اپ ڈیٹ کی وجہ سے ڈاؤن لوڈ کا رکنا اور کمپیوٹر کو ری اسٹارٹ کرنے میں لگنے والا وقت:** 20 منٹ  
6. **کل ڈاؤن لوڈ کرنے میں لگنے والا وقت:**  
   $$
   40 \, \text{منٹ (ڈاؤن لوڈ کا وقت)} + 20 \, \text{منٹ (ری اسٹارٹ کا وقت)} + 100 \, \text{منٹ (دوبارہ ڈاؤن لوڈ کا وقت)} = 160 \, \text{منٹ}
   $$

**جواب:**  
$$
\boxed{160}
$$",True
جان 3 گھنٹے تک 60 میل فی گھنٹہ کی رفتار سے گاڑی چلاتا ہے، پھر اسے احساس ہوتا ہے کہ وہ گھر پر کوئی بہت اہم چیز بھول گیا ہے، اس لیے وہ واپس مڑ جاتا ہے۔ وہ 4 گھنٹے میں گھر پہنچنے کی کوشش کرتا ہے، لیکن پہلے دو گھنٹے ٹریفک جام میں پھنسا رہتا ہے۔ اس کے بعد وہ اگلا آدھا گھنٹہ 30 میل فی گھنٹہ کی رفتار سے گاڑی چلاتا ہے، اور پھر 4 گھنٹے کے بقیہ وقت میں 80 میل فی گھنٹہ کی رفتار سے گاڑی چلاتا ہے۔ ان 4 گھنٹوں کے اختتام پر وہ گھر سے کتنی دور ہے؟,45,"

### مسئلہ کا حل

جان نے 3 گھنٹے تک 60 میل فی گھنٹہ کی رفتار سے گاڑی چلا کر 180 میل کا فاصلہ طے کیا۔ اس کے بعد وہ واپس مڑ جاتا ہے اور گھر پہنچنے کی کوشش کرتا ہے۔

#### 1. پہلے دو گھنٹے
پہلے دو گھنٹے میں ٹریفک جام میں پھنسا رہتا ہے، اس لیے وہ کسی فاصلے کا طے نہیں کرتا۔ اس لیے اس کا فاصلہ 180 میل رہتا ہے۔

#### 2. اگلا آدھا گھنٹہ
اگلا آدھا گھنٹہ (0.5 گھنٹے) میں جان 30 میل فی گھنٹہ کی رفتار سے 15 میل کا فاصلہ طے کرتا ہے۔ اس لیے اس کا فاصلہ 180 - 15 = 165 میل رہتا ہے۔

#### 3. بقیہ 1.5 گ",False
الیزا کو ہر ہفتے پہلے 40 گھنٹے کام کرنے کے لیے 10 ڈالر فی گھنٹہ ملتے ہیں۔ اسے اضافی وقت (اوور ٹائم) کام کرنے پر اپنی معمول کی اجرت کا 1.2 گنا معاوضہ بھی ملتا ہے۔ اگر الیزا نے اس ہفتے 45 گھنٹے کام کیا، تو اس ہفتے اس کی کل کمائی کتنی ہوگی؟,460,"

الیزا نے ہفتے میں 45 گھنٹے کام کیا۔ اسے ہفتے میں 40 گھنٹے کام کرنے کے لیے 10 ڈالر فی گھنٹہ ملتے ہیں۔ اسے اضافی وقت (اوور ٹائم) کام کرنے پر اپنی معمول کی اجرت کا 1.2 گنا معاوضہ بھی ملتا ہے۔

1. **ریگولر کام کے گھنٹوں کا حساب**:
   - 40 گھنٹے کام کرنے کے لیے اجرت: $ 40 \times 10 = 400 $ ڈالر

2. **اوور ٹائم کے گھنٹوں کا حساب**:
   - اضافی گھنٹے: $ 45 - 40 = 5 $ گھنٹے
   - اوور ٹائم کی اجرت: $ 1.2 \times 10 = 12 $ ڈالر فی گھنٹہ
   - 5 گھنٹوں کی اوور ٹائم اجرت: $ 5 \times 12 = 60 $ ڈالر

3. **کل کمائی**:
   - ریگولر اجرت: 400 ڈالر
   - اوور ٹائم اجرت: 60 ڈالر
   - کل کمائی: $ 400 + 60 = 460 $ ڈالر

جواب: 460 ڈالر

$$
\boxed{460}
$$",True
