row_idx,question,answer,response,is_correct
0,جینیٹ کی بطخیں روزانہ 16 انڈے دیتی ہیں۔ وہ ہر صبح ناشتے میں تین انڈے کھاتی ہے اور اپنے دوستوں کے لیے روزانہ چار انڈوں سے مفن بناتی ہے۔ باقی بچ جانے والے انڈے وہ کسانوں کی منڈی میں روزانہ 2 ڈالر فی تازہ انڈے کے حساب سے بیچتی ہے۔ وہ کسانوں کی منڈی سے روزانہ کتنے ڈالر کماتی ہے؟,18,"جینیٹ کی بطخیں روزانہ 16 انڈے دیتی ہیں۔

وہ ہر صبح ناشتے میں 3 انڈے کھاتی ہے، اور اپنے دوستوں کے لیے روزانہ 4 انڈوں سے مفن بناتی ہے۔

تو، روزانہ استعمال ہونے والے انڈے:
- ناشتے کے لیے: 3 انڈے
- مفن بنانے کے لیے: 4 انڈے

کل استعمال ہونے والے انڈے = 3 + 4 = **7 انڈے**

باقی بچ جانے والے انڈے = 16 - 7 = **9 انڈے**

جینیٹ کسانوں کی منڈی میں روزانہ 2 ڈالر فی تازہ انڈے کے حساب سے بیچتی ہے۔

تو، وہ کسانوں کی منڈی سے روزانہ کماتی ہے:
9 انڈے × 2 ڈالر = **18 ڈالر**

**جواب: 18 ڈالر**",True
1,ایک چوغہ بنانے میں نیلے فائبر کے 2 تھان اور اُس سے آدھا سفید فائبر لگتا ہے۔ اِسے بنانے کے لیے کُل کتنے تھان درکار ہوں گے؟,3,"ہمیں پتہ ہے کہ:

- 1 چوغہ بنانے میں **2 تھان نیلے فائبر** کی ضرورت ہوتی ہے۔
- اُس سے **آدھا سفید فائبر** لگتا ہے۔

ہمیں پوچھا گیا ہے کہ **کل کتنے تھان درکار ہوں گے**۔

### چوں کہ سفید فائبر کی مقدار چھوٹی ہے، اسے نیلے فائبر کی مقدار کے مقابلے میں نظر انداز کیا جاتا ہے۔

تو، ہمیں **صرف نیلے فائبر کے تھان** کی تعداد کا حساب لگانا ہوگا۔

### اس لیے،
- 1 چوغہ = 2 تھان نیلے فائبر

### اگر 1 چوغہ بنانے میں 2 تھان نیلے فائبر لگتے ہیں، تو:
- 1 چوغہ کے لیے کل **2 تھان** درکار ہوں گے۔

### ✅ جواب: **2 تھان**",False
2,"جوش نے ایک گھر کی مرمت کر کے اسے بیچنے کا کام آزمانے کا فیصلہ کیا۔ اُس نے 80,000 ڈالر میں ایک گھر خریدا اور پھر اُس کی مرمت پر 50,000 ڈالر لگائے۔ اس سے گھر کی مالیت میں 150 فیصد اضافہ ہوگیا۔ اُسے کتنا منافع ہوا؟",70000,"ہمیں جوہ کے منافع کا حساب لگانا ہے۔ ہم اس کی کل خرچ، کل فروخت کی قیمت اور منافع پر غور کریں گے۔

### دی گئی معلومات:
- **خرید کی قیمت (کوست):** 80,000 ڈالر  
- **مرمت پر خرچ (خزانت):** 50,000 ڈالر  
- **مالیت میں اضافہ:** 150%  

### ایک گھر کی مالیت میں 150% اضافہ کیا گیا، یعنی:
- اصل مالیت = 80,000 ڈالر  
- اضافہ = 150% × 80,000 = 120,000 ڈالر  
- **نئی مالیت = 80,000 + 120,000 = 200,000 ڈالر**

### کل خرچ:
- خرید کی قیمت + مرمت پر خرچ = 80,000 + 50,000 = **130,000 ڈالر**

### فروخت کی قیمت:
- 200,000 ڈالر

### منافع = فروخت کی قیمت - کل خرچ  
- منافع = 200,000 - 130,000 = **70,000 ڈالر**

### ✅ جواب:
**70,000 ڈالر منافع ہوا۔**",True
3,جیمز ہفتے میں 3 بار 3 سپرنٹ دوڑنے کا فیصلہ کرتا ہے۔ وہ ہر سپرنٹ میں 60 میٹر دوڑتا ہے۔ وہ ہفتے میں کل کتنے میٹر دوڑتا ہے؟,540,"جیمز ہفتے میں 3 بار سپرنٹ دوڑتا ہے اور ہر سپرنٹ میں 60 میٹر دوڑتا ہے۔

ہم ہر بار دوڑ کے مجموعی میٹر کو ہفتے کی تعداد سے ضرب دے کر کل میٹر پتہ لگائیں گے:

$$
3 \times 60 = 180
$$

**جواب: ہفتے میں جیمز کل 180 میٹر دوڑتا ہے** ✅",False
4,وینڈی ہر روز اپنی ہر مرغی کو صحت مند رکھنے کے لیے تین کپ ملی جلی خوراک کھلاتی ہے، جس میں بیج، کیڑے اور سبزیاں شامل ہوتی ہیں۔ وہ مرغیوں کو یہ خوراک دن میں تین الگ الگ حصوں میں دیتی ہے۔ صبح کے وقت، وہ اپنی مرغیوں کے غول کو 15 کپ خوراک دیتی ہے۔ دوپہر میں، وہ انہیں مزید 25 کپ خوراک دیتی ہے۔ اگر وینڈی کے پاس 20 مرغیاں ہوں، تو اسے دن کی آخری خوراک میں انہیں کتنے کپ خوراک دینے کی ضرورت ہے؟,20,"وینڈی کے پاس 20 مرغیاں ہیں اور ہر مرغی کو دن میں تین کپ ملی جلی خوراک دی جاتی ہے۔

### پہلے قدم:  
ہر مرغی کو دن میں **3 کپ** خوراک دی جاتی ہے۔  
تو 20 مرغیوں کے لیے کل خوراک کی مقدار ہو گی:  
$$
20 \times 3 = 60 \text{ کپ}
$$

### دوسرے قدم:  
وینڈی دن میں تین حصوں میں خوراک دیتی ہے۔  
- صبح کے وقت: 15 کپ  
- دوپہر کے وقت: 25 کپ  

تاکہ دن کی آخری خوراک میں انہیں کتنے کپ دینے ہوں گے؟  
$$
60 - (15 + 25) = 60 - 40 = 20 \text{ کپ}
$$

### ✅ جواب:  
**20 کپ** خوراک دن کی آخری خوراک میں دینے کی ضرورت ہے۔",True
5,کیلر اپنے نئے اپارٹمنٹ کے لئے شیشے خریدنے کے لئے دکان گیا. ایک شیشے کی قیمت 5 ڈالر ہے، لیکن ہر دوسرے شیشے کی قیمت صرف 60 فیصد ہے. کیلر 16 شیشے خریدنا چاہتا ہے. اسے ان کے لئے کتنا ادا کرنے کی ضرورت ہے؟,64,"ہمیں پتہ ہے کہ کیلر 16 شیشے خریدنا چاہتا ہے، اور ہر دوسرے شیشے کی قیمت 60% ہے۔ یعنی اگر ہم شیشے کو 1, 2, 3, 4, ... کے طور پر سیٹ کریں، تو ہر دوسرے شیشے (2, 4, 6, 8, ...) کی قیمت 60% ہو گی۔

### قیمت کی حساب کتاب:

- ایک شیشے کی قیمت = 5 ڈالر
- ہر دوسرے شیشے کی قیمت = 60% = 0.6 × 5 = 3 ڈالر

### 16 شیشے میں ہر دوسرے شیشے کی تعداد:
16 شیشے میں ہر دوسرے شیشے کی تعداد = 16 ÷ 2 = 8 شیشے

### اس لیے:
- 8 شیشے کی قیمت = 8 × 3 = 24 ڈالر
- 8 شیشے کی قیمت = 8 × 5 = 40 ڈالر

### کل قیمت:
24 + 40 = **64 ڈالر**

### ✅ جواب:
**64 ڈالر**",True
6,ٹولوس کے پاس چارلسٹن سے دوگنی بھیڑیں ہیں۔ چارلسٹن کے پاس سیئٹل سے چار گنا زیادہ بھیڑیں ہیں۔ اگر سیئٹل کے پاس 20 بھیڑیں ہیں، تو ٹولوس، چارلسٹن اور سیئٹل تینوں کے پاس ملا کر کل کتنی بھیڑیں ہوں گی؟,260,"ہمیں یہ معلوم ہے کہ:

- سیئٹل کے پاس **20** بھیڑیں ہیں۔  
- چارلسٹن کے پاس سیئٹل سے **4 گنا** زیادہ بھیڑیں ہیں۔  
- ٹولوس کے پاس چارلسٹن سے **دوگنی** بھیڑیں ہیں۔

### 1. چارلسٹن کی بھیڑیں:
$$
\text{چارلسٹن} = 4 \times \text{سیئٹل} = 4 \times 20 = 80
$$

### 2. ٹولوس کی بھیڑیں:
$$
\text{ٹولوس} = 2 \times \text{چارلسٹن} = 2 \times 80 = 160
$$

### 3. کل بھیڑیں:
$$
\text{کل} = \text{سیئٹل} + \text{چارلسٹن} + \text{ٹولوس} = 20 + 80 + 160 = 260
$$

### ✅ جواب: **260** بھیڑیں",True
7,کارلا ایک 200 جی بی کی فائل ڈاؤن لوڈ کر رہی ہے۔ عام طور پر وہ 2 جی بی فی منٹ کی رفتار سے ڈاؤن لوڈ کر سکتی ہے، لیکن جب ڈاؤن لوڈ 40 فیصد مکمل ہوا، تو ونڈوز نے اپ ڈیٹس انسٹال کرنے کے لیے کمپیوٹر کو ری اسٹارٹ کر دیا، جس میں 20 منٹ لگے۔ اس کے بعد کارلا کو ڈاؤن لوڈ شروع سے دوبارہ کرنا پڑا۔ فائل کو ڈاؤن لوڈ کرنے میں کل کتنا وقت لگے گا؟,160,"ہمیں یہ پتہ چلے گا کہ فائل کو کتنے وقت میں ڈاؤن لوڈ کرنے میں لگا، جبکہ اس کے بعد کمپیوٹر ری استارٹ ہو گیا اور کارلا کو ڈاؤن لوڈ شروع سے دوبارہ کرنا پڑا۔

### معلومات دی گئی ہے:

- فائل کی کل گرڈ کیپسیٹی = 200 جی بی
- عام ڈاؤن لوڈ رفتار = 2 جی بی / منٹ
- ڈاؤن لوڈ 40% تک ہو چکا تھا، پھر کمپیوٹر ری استارٹ ہو گیا
- ری استارٹ کے لیے وقت لگا = 20 منٹ
- ڈاؤن لوڈ ہر دفعہ سے شروع ہو گیا

---

### 1. ڈاؤن لوڈ 40% تک کتنا وقت لگا؟

40% = 0.4 × 200 جی بی = 80 جی بی

ڈاؤن لوڈ رفتار = 2 جی بی / منٹ

$$
\text{وقت} = \frac{80}{2} = 40 \text{ منٹ}
$$

---

### 2. ری استارٹ کے لیے 20 منٹ لگے

---

### 3. اب کارلا کو فائل کو دوبارہ ڈاؤن لوڈ کرنا پڑا۔

کل ڈاؤن لوڈ کیا گیا = 80 جی بی (پہلی بار)  
باقی = 200 - 80 = 120 جی بی

$$
\text{دوسری بار ڈاؤن لوڈ کے لیے وقت} = \frac{120}{2} = 60 \text{ منٹ}
$$

---

### 4. کل کل وقت = پہلی بار ڈاؤن لوڈ + ری استارٹ + دوسری بار ڈاؤن لوڈ

$$
40 + 20 + 60 = 120 \text{ منٹ}
$$

---

### ✅ **جواب: 120 منٹ**",False
8,جان 3 گھنٹے تک 60 میل فی گھنٹہ کی رفتار سے گاڑی چلاتا ہے، پھر اسے احساس ہوتا ہے کہ وہ گھر پر کوئی بہت اہم چیز بھول گیا ہے، اس لیے وہ واپس مڑ جاتا ہے۔ وہ 4 گھنٹے میں گھر پہنچنے کی کوشش کرتا ہے، لیکن پہلے دو گھنٹے ٹریفک جام میں پھنسا رہتا ہے۔ اس کے بعد وہ اگلا آدھا گھنٹہ 30 میل فی گھنٹہ کی رفتار سے گاڑی چلاتا ہے، اور پھر 4 گھنٹے کے بقیہ وقت میں 80 میل فی گھنٹہ کی رفتار سے گاڑی چلاتا ہے۔ ان 4 گھنٹوں کے اختتام پر وہ گھر سے کتنی دور ہے؟,45,"ہمیں یہ پتہ چلنا ہے کہ جان 4 گھنٹوں کے اختتام پر گھر سے کتنی دور ہے۔ ہم اس کی چلی گئی مجموعی مسافت کا حساب لگائیں گے۔

### 1. پہلے 3 گھنٹے:
- رفتار = 60 میل فی گھنٹہ
- وقت = 3 گھنٹے  
- مسافت = 60 × 3 = **180 میل**  
(یہ مسافت گھر سے دور ہے)

### 2. واپسی کے لیے 4 گھنٹے:
- **پہلے 2 گھنٹے** ٹریفک جام میں گزرے، اس لیے اس دوران مسافت نہیں چلی گئی۔
- **دوسرا 0.5 گھنٹہ (آدھا گھنٹہ)**:  
  - رفتار = 30 میل فی گھنٹہ  
  - مسافت = 30 × 0.5 = **15 میل**  
- **باقی 1.5 گھنٹے** (4 - 2 - 0.5 = 1.5):  
  - رفتار = 80 میل فی گھنٹہ  
  - مسافت = 80 × 1.5 = **120 میل**

### 3. مجموعی واپسی مسافت:
- 15 + 120 = **135 میل**  
(یہ مسافت گھر کی طرف ہے)

### 4. مجموعی مسافت گھر سے دور:
- 180 (پہلے گھر سے دور) - 135 (واپسی میں چلی گئی مسافت) = **45 میل**

---

### ✅ جواب: **45 میل**  
جان 4 گھنٹوں کے اختتام پر گھر سے **45 میل** دور ہے۔",True
9,الیزا کو ہر ہفتے پہلے 40 گھنٹے کام کرنے کے لیے 10 ڈالر فی گھنٹہ ملتے ہیں۔ اسے اضافی وقت (اوور ٹائم) کام کرنے پر اپنی معمول کی اجرت کا 1.2 گنا معاوضہ بھی ملتا ہے۔ اگر الیزا نے اس ہفتے 45 گھنٹے کام کیا، تو اس ہفتے اس کی کل کمائی کتنی ہوگی؟,460,"ہمیں پتہ ہے کہ:

- الیزا کو ہر ہفتے پہلے **40 گھنٹے** کام کرنے پر **10 ڈالر فی گھنٹہ** ملتے ہیں۔  
- اسے **ادافی وقت (اوور ٹائم)** کام کرنے پر اپنی معمول کی اجرت کا **1.2 گنا** معاوضہ ملتا ہے۔  
- اس ہفتے اس نے **45 گھنٹے** کام کیا۔

### اب ہم یہ گنیں گے:

#### 1. **معمولی گھنٹوں کی اجرت**:
- معمولی گھنٹے = 40 گھنٹے  
- معمولی اجرت = 40 × 10 = **400 ڈالر**

#### 2. **ادافی گھنٹوں کی اجرت**:
- ادافی گھنٹے = 45 - 40 = **5 گھنٹے**  
- ادافی اجرت = 10 × 1.2 = **12 ڈالر فی گھنٹہ**  
- ادافی گھنٹوں کی کل اجرت = 5 × 12 = **60 ڈالر**

#### 3. **کل اجرت**:
- کل اجرت = معمولی اجرت + ادافی اجرت  
- = 400 + 60 = **460 ڈالر**

### ✅ **جواب: 460 ڈالر**",True
